"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
Bartek93794875,"ID 1461428377248747521","Thu Nov 18 20:17:31 +0000 2021"," RT @bilu0603: Oto dowód że w Polskich Sądach rządzi Kasta, inaczej zwana żydokomuną 😳🙆‍♂️💩🤮👹 Panie Ziobro, brać się ostro za te szumowiny i…",https://twitter.com/Bartek93794875/statuses/1461428377248747521,1,0,"Twitter Web App"
Bartek93794875,"ID 1461428228770471937","Thu Nov 18 20:16:56 +0000 2021"," RT @steadygoing: TVP World . Genialne posunięcie . Czas na druk dziennika ogólnopolskiego , w języku angielskim . Chciałbym , żeby polska r…",https://twitter.com/Bartek93794875/statuses/1461428228770471937,3,0,"Twitter Web App"
Bartek93794875,"ID 1461428194490339333","Thu Nov 18 20:16:48 +0000 2021"," RT @TOPTVPINFO: .@TeleexpressTVP | TVP odpowiada na dezinformację i hybrydową agresję Moskwy i Mińska. Od dziś, prawdę o tym, co dzieje się…",https://twitter.com/Bartek93794875/statuses/1461428194490339333,8,0,"Twitter Web App"
Bartek93794875,"ID 1461428140065099780","Thu Nov 18 20:16:35 +0000 2021"," RT @WiadomosciTVP: #Wiadomości | TVP World mogą oglądać już widzowie na całym świecie. To anglojęzyczny kanał informacyjny Telewizji Polski…",https://twitter.com/Bartek93794875/statuses/1461428140065099780,17,0,"Twitter Web App"
Bartek93794875,"ID 1461428116614750212","Thu Nov 18 20:16:29 +0000 2021"," RT @Kryhor: Ch.j z ulica, ch.j z zagranica -TVP World. Słyszę okrutne lewackie wycie. Trzeba zamknąć okna !!😂😂",https://twitter.com/Bartek93794875/statuses/1461428116614750212,28,0,"Twitter Web App"
Bartek93794875,"ID 1461427863773753352","Thu Nov 18 20:15:29 +0000 2021"," RT @mmpiatkowski: Za wyjście obronną ręką z najw. epidemii od 100+lat, gosp. odbicie w tempie 5%, najniższe bezrobocie w historii, setki ml…",https://twitter.com/Bartek93794875/statuses/1461427863773753352,10,0,"Twitter Web App"
Bartek93794875,"ID 1461423548472471558","Thu Nov 18 19:58:20 +0000 2021"," RT @LucjaDarbah: Wniosek .@KO_Obywatelska @Platforma_org o odrzuceniu nowelizacji ustawy o ochronie granic to jawna zdrada. Wspieracie reżi…",https://twitter.com/Bartek93794875/statuses/1461423548472471558,12,0,"Twitter Web App"
Bartek93794875,"ID 1461423514368544769","Thu Nov 18 19:58:12 +0000 2021"," RT @LucjaDarbah: Coraz głośniej się mówi o wydzielaniu specjalnych stref dla nie zaszczepionych. Kiedyś wykluczonym ze względu na narodowoś…",https://twitter.com/Bartek93794875/statuses/1461423514368544769,7,0,"Twitter Web App"
Bartek93794875,"ID 1461423504746860558","Thu Nov 18 19:58:10 +0000 2021"," RT @LucjaDarbah: Możemy liczyć na solidarność krajów Zachodniej Europy, czy czeka nas Pakt Ribbentrop–Mołotow 2.0?",https://twitter.com/Bartek93794875/statuses/1461423504746860558,1,0,"Twitter Web App"
Bartek93794875,"ID 1461423475076255745","Thu Nov 18 19:58:03 +0000 2021"," RT @LucjaDarbah: NIE DLA SEGREGACJI SANITARNEJ ❗
⛔🚫😷🤭🚫⛔",https://twitter.com/Bartek93794875/statuses/1461423475076255745,4,0,"Twitter Web App"
